epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,637.02,1.38529,1.09049,1.22522,0.64859,0.73625,0.7143,0.43229,1.42879,0.99288,1.28683,0.008152,0.008152,0.008152
16,1263.4,1.38004,1.07608,1.22261,0.67679,0.71805,0.70512,0.42323,1.44401,1.02376,1.29877,0.00802,0.00802,0.00802
17,1896.8,1.37462,1.07417,1.22119,0.65351,0.74297,0.72532,0.44294,1.40081,0.96689,1.26757,0.007888,0.007888,0.007888
18,2502.47,1.36728,1.06625,1.21879,0.67672,0.74735,0.72513,0.44568,1.39227,0.96497,1.26495,0.007756,0.007756,0.007756
19,3115.77,1.36646,1.05371,1.215,0.68421,0.75311,0.73673,0.45454,1.38547,0.93847,1.26171,0.007624,0.007624,0.007624
20,3712.94,1.36135,1.04428,1.21365,0.67327,0.75315,0.73738,0.4564,1.38617,0.92532,1.25998,0.007492,0.007492,0.007492
21,4326.28,1.35886,1.04306,1.21209,0.66049,0.77709,0.73699,0.45708,1.37344,0.91907,1.25101,0.00736,0.00736,0.00736
22,4942.8,1.35129,1.03269,1.20896,0.66922,0.77327,0.73515,0.45554,1.37625,0.92265,1.25342,0.007228,0.007228,0.007228
23,5559.05,1.34821,1.03211,1.20715,0.66488,0.78249,0.73504,0.45653,1.36962,0.92005,1.24746,0.007096,0.007096,0.007096
24,6175.04,1.33967,1.02294,1.204,0.67855,0.77532,0.74255,0.46511,1.362,0.9047,1.24548,0.006964,0.006964,0.006964
25,6776.36,1.34886,1.02507,1.2057,0.67837,0.77272,0.74698,0.47166,1.35482,0.88957,1.2375,0.006832,0.006832,0.006832
26,7377.02,1.34222,1.01803,1.20452,0.67751,0.77171,0.7485,0.47087,1.35059,0.88734,1.23679,0.0067,0.0067,0.0067
27,7989.37,1.33629,1.01076,1.20164,0.6717,0.78122,0.74577,0.47323,1.34314,0.88727,1.23458,0.006568,0.006568,0.006568
28,8592.83,1.33283,1.00639,1.19491,0.67149,0.78616,0.74791,0.47392,1.34179,0.87863,1.23054,0.006436,0.006436,0.006436
29,9201.87,1.34138,1.0141,1.20527,0.6748,0.79665,0.75406,0.47921,1.33759,0.86693,1.22845,0.006304,0.006304,0.006304
30,9799.77,1.33704,1.01195,1.20016,0.67179,0.80271,0.75424,0.48038,1.33075,0.85751,1.22267,0.006172,0.006172,0.006172
31,10404.1,1.33054,1.00122,1.19855,0.67256,0.80126,0.75469,0.48049,1.32934,0.85759,1.21991,0.00604,0.00604,0.00604
32,11006.9,1.33065,1.01101,1.19969,0.67306,0.80363,0.75668,0.48154,1.3278,0.85786,1.21966,0.005908,0.005908,0.005908
33,11620.9,1.32935,0.997,1.20007,0.68308,0.80265,0.76151,0.48734,1.32278,0.85186,1.21942,0.005776,0.005776,0.005776
34,12231.8,1.32391,0.99281,1.19426,0.68048,0.80448,0.75912,0.48648,1.31923,0.84828,1.21493,0.005644,0.005644,0.005644
35,12831.2,1.32504,0.98701,1.19383,0.68362,0.80537,0.75885,0.48697,1.31678,0.84212,1.21188,0.005512,0.005512,0.005512
36,13432.6,1.31382,0.98245,1.18942,0.68863,0.79752,0.76021,0.48917,1.31507,0.8403,1.21125,0.00538,0.00538,0.00538
37,14039.7,1.31312,0.97764,1.18811,0.69141,0.80117,0.76143,0.49037,1.31136,0.8365,1.20861,0.005248,0.005248,0.005248
